,Transaction,Date,Price
345,Buy,2021-09-23,3799.199951171875
346,Buy,2021-10-07,3828.550048828125
347,Buy,2021-11-09,3794.449951171875
348,Buy,2021-12-10,3344.75
349,Buy,2021-12-15,3294.5
350,Buy,2021-12-23,3174.10009765625
351,Buy,2021-12-28,3176.050048828125
352,Buy,2022-01-21,3419.800048828125
353,Buy,2022-02-28,3530.35009765625
354,Buy,2022-03-10,3422.35009765625
355,Buy,2022-04-20,3720.75
356,Buy,2022-04-26,3892.10009765625
357,Buy,2022-05-16,3715.85009765625
358,Buy,2022-06-06,3817.0
359,Buy,2022-06-23,3784.800048828125
360,Buy,2022-07-06,3773.050048828125
361,Buy,2022-08-01,3973.300048828125
362,Buy,2022-08-30,4084.85009765625
363,Buy,2022-10-07,3603.550048828125
364,Buy,2022-10-12,3624.5
365,Buy,2022-11-28,3676.699951171875
366,Buy,2022-11-30,3750.699951171875
367,Buy,2022-12-06,3694.800048828125
368,Buy,2022-12-21,3611.050048828125
369,Buy,2022-12-27,3590.949951171875
370,Buy,2022-12-30,3616.050048828125
371,Buy,2023-01-03,3601.699951171875
372,Buy,2023-01-05,3621.14990234375
373,Buy,2023-01-13,3605.300048828125
374,Buy,2023-01-23,3623.550048828125
375,Buy,2023-03-08,3811.199951171875
376,Buy,2023-03-29,3879.300048828125
377,Buy,2023-05-22,4523.25
378,Buy,2023-05-24,4517.60009765625
379,Buy,2023-06-28,4716.2998046875
380,Buy,2023-07-05,4890.0498046875
381,Buy,2023-07-26,4870.4501953125
382,Buy,2023-07-28,4892.5
383,Buy,2023-08-29,4664.5498046875
384,Buy,2023-09-01,4668.4501953125
385,Buy,2023-10-05,5011.0498046875
386,Buy,2023-10-11,5064.39990234375
387,Buy,2024-03-04,8207.2998046875
388,Buy,2024-04-18,9021.2998046875
389,Buy,2024-04-26,8974.2998046875
390,Buy,2024-04-30,8903.650390625
391,Buy,2004-05-06,60.57500076293945
392,Buy,2004-05-25,59.88999938964844
393,Buy,2004-06-08,57.90999984741211
394,Buy,2004-07-20,62.06500244140625
395,Buy,2004-08-09,62.30500030517578
396,Buy,2004-10-21,64.3550033569336
397,Buy,2005-01-18,89.68000030517578
398,Buy,2005-02-01,90.02999877929688
399,Buy,2005-04-25,84.05500030517578
400,Buy,2005-05-25,85.1050033569336
401,Buy,2005-08-25,108.43499755859375
402,Buy,2005-09-20,120.04000091552734
403,Buy,2005-10-04,127.43000030517578
404,Buy,2005-10-24,118.83499908447266
