CostBps,Strategy,RiskProfile,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,TotalReturn,AverageTurnover,TotalTransactionCosts,Observations
5,XGB_TurnoverAware,aggressive,0.029432738678167425,0.153830756213925,0.3694377721221459,0.4730788448535738,-0.14641418859476585,0.0280117349288056,0.050169034680860314,0.0012040568323406474,48
10,BuyHold,,0.09335340736489472,0.12853993829022486,0.7845059928757233,1.2969721734344617,-0.07537186346637659,0.08871654199300782,0.020833333333333332,0.001,48
10,EqualWeight,,0.09335340736489472,0.12853993829022486,0.7845059928757233,1.2969721734344617,-0.07537186346637659,0.08871654199300782,0.020833333333333332,0.001,48
10,RiskOnly,,0.1399402698936414,0.12795330507639846,1.1222939005608656,2.0484970932657247,-0.06667385788679747,0.13285264950427966,0.2230459305331209,0.010706204665589804,48
10,XGB_EqualWeight,,0.07974406177219984,0.14583803144361865,0.6616503490112331,1.1228192752457231,-0.0893220847366234,0.07580638700417297,0.8416666666666667,0.0404,48
10,XGB_Risk,aggressive,0.0618850953780572,0.15735809576350956,0.5574401745379477,1.0579007194672236,-0.08121455600285565,0.058853162759174626,1.0891400216639158,0.052278721039867956,48
10,XGB_TurnoverAware,aggressive,0.028664685527155065,0.153833821315799,0.3612120644881421,0.462819071127406,-0.14658679812573738,0.027281252473793982,0.050169034680860314,0.0024081136646812947,48
20,BuyHold,,0.09335340736489428,0.12853338998691866,0.7763768770333772,1.2834674527916077,-0.0753718634663767,0.08871654199300738,0.020833333333333332,0.002,48
20,EqualWeight,,0.09335340736489428,0.12853338998691866,0.7763768770333772,1.2834674527916077,-0.0753718634663767,0.08871654199300738,0.020833333333333332,0.002,48
20,RiskOnly,,0.12840200434803117,0.1279936451942941,1.034111488457529,1.8837018472405858,-0.0676661067596922,0.12192950744927455,0.2230459305331209,0.02141240933117961,48
20,XGB_EqualWeight,,0.03602833710846576,0.14580426599911364,0.3708655849898805,0.6297592747076738,-0.09786647694662587,0.03428363160586145,0.8416666666666667,0.0808,48
20,XGB_Risk,aggressive,0.006241819097618562,0.1573820423574821,0.20856933093388566,0.3847488603745141,-0.08971299819612766,0.005943708082656096,1.0891400216639158,0.10455744207973591,48
20,XGB_TurnoverAware,aggressive,0.027129866414479453,0.15384728328514635,0.34474520254843616,0.44224246733652656,-0.1469320171875913,0.02582143395861114,0.050169034680860314,0.0048162273293625895,48
30,BuyHold,,0.0933534073648945,0.12853501059012606,0.7681981077312972,1.2699627321487537,-0.0753718634663767,0.0887165419930076,0.020833333333333332,0.003,48
30,EqualWeight,,0.0933534073648945,0.12853501059012606,0.7681981077312972,1.2699627321487537,-0.0753718634663767,0.0887165419930076,0.020833333333333332,0.003,48
30,RiskOnly,,0.1169772038541197,0.12804614072001885,0.9458948420080837,1.7064853963345095,-0.06865758702716362,0.1111085397608007,0.2230459305331209,0.032118613996769414,48
30,XGB_EqualWeight,,-0.005953841428164908,0.1457845917442188,0.07993838213182491,0.1331698012098323,-0.10712583483216775,-0.0056711306607077905,0.8416666666666667,0.12119999999999999,48
30,XGB_Risk,aggressive,-0.046548153334029285,0.1574491457886405,-0.14015693578913624,-0.25519728982325235,-0.1013837853668006,-0.04438152504387416,1.0891400216639158,0.15683616311960388,48
30,XGB_TurnoverAware,aggressive,0.02559676248029108,0.15387051860971432,0.32826037077228776,0.4215928977024268,-0.1472772362493271,0.02436314310316079,0.050169034680860314,0.007224340994043883,48
50,BuyHold,,0.09335340736489406,0.1285627557232375,0.7516978876883975,1.24548250376478,-0.0753718634663767,0.08871654199300716,0.020833333333333332,0.005,48
50,EqualWeight,,0.09335340736489406,0.1285627557232375,0.7516978876883975,1.24548250376478,-0.0753718634663767,0.08871654199300716,0.020833333333333332,0.005,48
50,RiskOnly,,0.09446367433768588,0.1281875348022736,0.7694597949832718,1.382286650532284,-0.07063824329766322,0.08976942928554354,0.2230459305331209,0.053531023327949026,48
50,XGB_EqualWeight,,-0.08498420953041463,0.145787535536817,-0.5020059864976332,-0.8008796742313988,-0.1253844861923883,-0.08110619705177413,0.8416666666666667,0.202,48
50,XGB_Risk,aggressive,-0.1441336337756398,0.15771256738602205,-0.8360329565705975,-1.4955247709747077,-0.16628405441054528,-0.1377668348381772,1.0891400216639158,0.2613936051993398,48
50,XGB_TurnoverAware,aggressive,0.022535694994582744,0.1539462897618438,0.29524943319019753,0.38009008516707804,-0.14796767437244307,0.021451140212729758,0.050169034680860314,0.012040568323406475,48
