Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks,Strategy,RiskProfile
2025-01-29,998530.5311612632,0.05049214978878602,0.0011999999999999997,0.04929214978878602,1.1999999999999997,20,XGB_Risk,conservative
2025-02-04,956122.0654664258,-0.04167087532267788,0.0008,-0.04247087532267788,0.8,20,XGB_Risk,conservative
2025-02-11,944486.4638809453,-0.010969577510800743,0.0012,-0.012169577510800743,1.2,20,XGB_Risk,conservative
2025-02-18,931582.9423562827,-0.012861944366721056,0.0007999999999999998,-0.013661944366721057,0.7999999999999998,20,XGB_Risk,conservative
2025-02-25,930776.9916103176,0.0003348588415255094,0.0012000000000000001,-0.0008651411584744907,1.2000000000000002,20,XGB_Risk,conservative
2025-03-05,938965.3314945531,0.009197316605419115,0.0003999999999999999,0.008797316605419115,0.3999999999999999,20,XGB_Risk,conservative
2025-03-12,956548.885215745,0.0195265207046611,0.0007999999999999994,0.0187265207046611,0.7999999999999994,20,XGB_Risk,conservative
2025-03-21,970521.6356806024,0.0158074609262715,0.0011999999999999992,0.0146074609262715,1.1999999999999993,20,XGB_Risk,conservative
2025-03-28,935411.252682613,-0.0353768163708863,0.0008000000000000007,-0.0361768163708863,0.8000000000000007,20,XGB_Risk,conservative
2025-04-07,981996.3959977764,0.05140177775450594,0.0016,0.04980177775450594,1.6,20,XGB_Risk,conservative
2025-04-16,1016758.6304115847,0.03659955396525416,0.0012,0.03539955396525416,1.2,20,XGB_Risk,conservative
2025-04-24,1018974.5868142031,0.0037794321054558377,0.0016,0.002179432105455838,1.6,20,XGB_Risk,conservative
2025-05-02,1019462.761066518,0.001279083834505812,0.0008000000000000006,0.0004790838345058114,0.8000000000000006,20,XGB_Risk,conservative
2025-05-09,1040210.1555155235,0.022084398200572064,0.0017330962782729114,0.020351301922299152,1.7330962782729114,20,XGB_Risk,conservative
2025-05-16,1027679.347926223,-0.010846419199868618,0.0012000000000000003,-0.012046419199868617,1.2000000000000004,20,XGB_Risk,conservative
2025-05-23,1026040.0700789918,-0.0007951258050860055,0.0008000000000000007,-0.0015951258050860063,0.8000000000000007,20,XGB_Risk,conservative
2025-05-30,1028241.9800702793,0.0025460272902577685,0.0003999999999999999,0.0021460272902577688,0.3999999999999999,20,XGB_Risk,conservative
2025-06-06,1019918.2148329116,-0.0076951423873967695,0.0003999999999999999,-0.008095142387396769,0.3999999999999999,20,XGB_Risk,conservative
2025-06-13,1039774.7296457152,0.020668732417977953,0.0012,0.019468732417977953,1.2,20,XGB_Risk,conservative
2025-06-20,1063117.763824839,0.023650087998462466,0.0012000000000000001,0.022450087998462466,1.2000000000000002,20,XGB_Risk,conservative
2025-06-27,1053767.4864410497,-0.007595147350514808,0.0012,-0.008795147350514808,1.2,20,XGB_Risk,conservative
2025-07-04,1059479.159031467,0.006220239914316972,0.0008,0.005420239914316971,0.8,20,XGB_Risk,conservative
2025-07-11,1056593.9475775985,-0.0010267494505982189,0.001696486234855071,-0.0027232356854532897,1.696486234855071,20,XGB_Risk,conservative
2025-07-18,1031649.5941220326,-0.022408268353944827,0.001200000000000001,-0.023608268353944827,1.2000000000000008,20,XGB_Risk,conservative
2025-07-25,1004675.2415826366,-0.024946816412361517,0.0012,-0.026146816412361516,1.2,20,XGB_Risk,conservative
2025-08-01,1006587.4506535019,0.002703310633845213,0.0008000000000000007,0.001903310633845212,0.8000000000000007,20,XGB_Risk,conservative
2025-08-08,1039261.5727896225,0.0332602915672231,0.0008,0.0324602915672231,0.8,20,XGB_Risk,conservative
2025-08-18,1046538.7360285035,0.0078022441216096805,0.0008,0.00700224412160968,0.8,20,XGB_Risk,conservative
2025-08-25,1030484.7252706012,-0.014160580288584024,0.0011795215205715457,-0.015340101809155569,1.1795215205715457,20,XGB_Risk,conservative
2025-09-02,1019638.1015497963,-0.009725749149708807,0.0008000000000000001,-0.010525749149708807,0.8000000000000002,20,XGB_Risk,conservative
