Date,IC,NStocks,Model
2023-09-29,-0.22556390977443608,20,RandomForest
2023-10-03,-0.030075187969924807,20,RandomForest
2023-10-04,-0.08721804511278194,20,RandomForest
2023-10-05,-0.26616541353383455,20,RandomForest
2023-10-06,0.22105263157894736,20,RandomForest
2023-10-09,0.11428571428571428,20,RandomForest
2023-10-10,0.05714285714285714,20,RandomForest
2023-10-11,0.2120300751879699,20,RandomForest
2023-10-12,0.15037593984962402,20,RandomForest
2023-10-13,-0.35488721804511275,20,RandomForest
2023-10-16,0.16691729323308271,20,RandomForest
2023-10-17,0.12481203007518797,20,RandomForest
2023-10-18,-0.28421052631578947,20,RandomForest
2023-10-19,0.25864661654135335,20,RandomForest
2023-10-20,0.5022556390977443,20,RandomForest
2023-10-23,-0.11428571428571428,20,RandomForest
2023-10-25,-0.22406015037593985,20,RandomForest
2023-10-26,0.08571428571428572,20,RandomForest
2023-10-27,-0.16691729323308271,20,RandomForest
2023-10-30,-0.030075187969924807,20,RandomForest
2023-10-31,0.08421052631578946,20,RandomForest
2023-11-01,0.06616541353383458,20,RandomForest
2023-11-02,0.13233082706766916,20,RandomForest
2023-11-03,-0.0631578947368421,20,RandomForest
2023-11-06,0.08872180451127819,20,RandomForest
2023-11-07,-0.006015037593984962,20,RandomForest
2023-11-08,-0.15488721804511277,20,RandomForest
2023-11-09,0.16842105263157892,20,RandomForest
2023-11-10,0.156390977443609,20,RandomForest
2023-11-13,0.12781954887218044,20,RandomForest
2023-11-15,-0.20150375939849624,20,RandomForest
2023-11-16,-0.32481203007518794,20,RandomForest
2023-11-17,-0.13984962406015036,20,RandomForest
2023-11-20,-0.11729323308270674,20,RandomForest
2023-11-21,0.13533834586466165,20,RandomForest
2023-11-22,-0.193984962406015,20,RandomForest
2023-11-23,-0.11578947368421053,20,RandomForest
2023-11-24,-0.1639097744360902,20,RandomForest
2023-11-28,-0.19849624060150375,20,RandomForest
2023-11-29,-0.02857142857142857,20,RandomForest
2023-11-30,-0.007518796992481202,20,RandomForest
2023-12-01,0.10827067669172932,20,RandomForest
2023-12-04,0.18045112781954886,20,RandomForest
2023-12-05,0.08872180451127819,20,RandomForest
2023-12-06,-0.20601503759398496,20,RandomForest
2023-12-07,-0.12481203007518797,20,RandomForest
2023-12-08,-0.30225563909774433,20,RandomForest
2023-12-11,-0.13834586466165413,20,RandomForest
2023-12-12,-0.06466165413533834,20,RandomForest
2023-12-13,0.11578947368421053,20,RandomForest
2023-12-14,0.010526315789473682,20,RandomForest
2023-12-15,-0.03609022556390977,20,RandomForest
2023-12-18,-0.27518796992481204,20,RandomForest
2023-12-19,-0.03609022556390977,20,RandomForest
2023-12-20,-0.06165413533834586,20,RandomForest
