Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,NStocks,Strategy,RiskProfile,CostBps
2025-10-15,1055110.3087275112,0.01877693269732017,0.0012000000000000001,0.017554400378083423,1.2000000000000002,10,XGB_Risk,moderate,10.0
2025-10-23,1051171.9349089495,-0.002133095974616972,0.0016029888264181722,-0.003732665472022112,1.6029888264181722,10,XGB_Risk,moderate,10.0
2025-10-30,1016473.6353976916,-0.031843410898932945,0.0012040884586799782,-0.0330091570740646,1.2040884586799783,10,XGB_Risk,moderate,10.0
2025-11-07,1065986.4817646449,0.04956526077947254,0.0008144819192814175,0.04871040885146183,0.8144819192814174,10,XGB_Risk,moderate,10.0
2025-11-14,1073220.019496941,0.008007655607977338,0.0012121801588551564,0.006785768727875174,1.2121801588551564,10,XGB_Risk,moderate,10.0
2025-11-21,1077977.9317997168,0.005646752504295138,0.0012066333626811702,0.004433305581651448,1.20663336268117,10,XGB_Risk,moderate,10.0
2025-11-28,1084042.0195363034,0.006837560082592509,0.0012038998849915764,0.0056254284598038495,1.2038998849915763,10,XGB_Risk,moderate,10.0
2025-12-05,1069063.701573186,-0.012236679586733912,0.0015999999999999999,-0.01381710089939514,1.5999999999999999,10,XGB_Risk,moderate,10.0
2025-12-12,1061581.9273425103,-0.006199071990042215,0.0008043505505579335,-0.0069984363136320615,0.8043505505579335,10,XGB_Risk,moderate,10.0
2025-01-01,1015255.9026607242,0.01627217483555965,0.001,0.015255902660724185,1.0,10,XGB_Risk,aggressive,10.0
2025-01-08,984258.350813975,-0.029334462818629725,0.0012334829962056756,-0.030531762253745764,1.2334829962056755,10,XGB_Risk,aggressive,10.0
2025-01-15,975011.3979318225,-0.008198363333644876,0.0012063701351298238,-0.00939484320809203,1.206370135129824,10,XGB_Risk,aggressive,10.0
2025-01-22,952524.5425462086,-0.022672240704644908,0.0004,-0.023063171808363037,0.4,10,XGB_Risk,aggressive,10.0
2025-01-29,998790.6604135019,0.04983189883952166,0.0012,0.04857210056091432,1.2,10,XGB_Risk,aggressive,10.0
